문항,label
앞에 나가서 말하는 것이 재미있다.,"대담성, 외향성, 불안성, 자립성"
갑자기 많은 사람들이 한꺼번에 나를 쳐다보면 당황한다.,"대담성, 외향성, 불안성, 자립성"
일할 때 다른 사람이 나를 둘러서서 구경하면 부담스러워 자연스럽게 행동하지 못한다.,"대담성, 외향성, 불안성, 자립성"
"연극이나 음악, 오페라 등에 대하여 글을 쓰는 일이 재미있을 것 같다.","공상성, 강정성"
감옥에서 나온 사람들을 도와주는 일이 좋을 것 같다.,"공상성, 강정성"
신앙과 종교에 관심이 있다.,"공상성, 강정성"
사상이나 철학에 관심이 있다.,"공상성, 강정성"
자주 어떤 생각에 깊이 빠져서 현실을 잊어버린다.,"공상성, 강정성"
왜 그런지 모르게 불안한 느낌이나 두려움을 느낄 때가 있다.,"자책성, 불안성, 자립성"
사람들의 비판을 받으면 매우 실망에 빠진다.,"자책성, 불안성, 자립성"
내가 한 일에 대하여 자주 후회한다.,"자책성, 불안성, 자립성"
잘못한 일이 없는데도 죄를 지은 듯한 느낌이 들곤 한다.,"자책성, 불안성, 자립성"
남이 욕을 하거나 미워해도 별로 신경 쓰지 않는다.,"자책성, 불안성, 자립성"
다른 사람과 이야기할 때 내 생각을 우선 정리하고 말한다.,"자기통제성, 불안성, 초자아강도"
방은 항상 깨끗하게 정리하고 무엇이든 곧 찾을 수 있게 해 놓는다.,"자기통제성, 불안성, 초자아강도"
성실하고 양심적으로 일을 하는 편이다.,"자기통제성, 불안성, 초자아강도"
무슨 일이든 하기 전에 항상 신중히 생각한다.,"자기통제성, 불안성, 초자아강도"
무슨 일이든지 끝까지 세심한 주의를 다해야만 안심이 된다.,"자기통제성, 불안성, 초자아강도"
거칠고 반항적인 사람보다 예의 바른 사람과 어울리고 싶다.,"실리성, 외향성"
농사를 지으며 자연과 함께 살고 싶다.,"실리성, 외향성"
다른 사람이 노리는 것을 쉽게 알아챈다.,"실리성, 외향성"
어떻게 하면 칭찬받는지 잘 안다.,"실리성, 외향성"
부탁을 잘 들어주는 친구와 사귀고 싶다.,"실리성, 외향성"
어려운 일이 닥치면 회피해버리는 내 자신이 못마땅하다,문제해결능력일치도
어려운 일을 당하면 어찌할 바를 모르는 내 모습이 못마땅하다,문제해결능력일치도
계획한 일들을 끝까지 잘 해내지 못하는 내 모습이 못마땅하다,문제해결능력일치도
일을 요령 있게 잘 처리하지 못하는 내 자신이 못마땅하다,문제해결능력일치도
일을 결정할 때 다른 사람의 말에 쉽게 좌우되는 내 모습이 못마땅하다,문제해결능력일치도
나는 다른 사람들이 뭐라 하든 흔들리지 않고 내 생각대로 인생을 살아가는 편이다.,"자기결정성, 외향성, 자립성"
각종 사회활동 모임에 즐겁게 참여한다.,"자기결정성, 외향성, 자립성"
함께 공부하는 것보다 참고서를 보며 혼자 공부하는 것이 낫다.,"자기결정성, 외향성, 자립성"
어떤 옷이 내게 어울리는지 엄마보다 내가 더 잘 안다.,"자기결정성, 외향성, 자립성"
여행을 어디로 갈지는 혼자 생각해 결정하겠다.,"자기결정성, 외향성, 자립성"
컴퓨터 게임을 하다가 학원에 지각한 적이 있다.,조절실패
나는 컴퓨터 게임을 다운 받은 적이 있다.,조절실패
TV를 보다가 숙제를 다 못한 적이 있다.,조절실패
스마트폰 채팅 때문에 시력이 나빠졌다.,조절실패
스마트폰 채팅을 하느라 숙제를 다 못한 적이 있다.,조절실패
처음 생각했던 것 보다 더 오랜 시간 컴퓨터 게임을 한다.,환상 및 현실구분 장애
나는 인기 있는 컴퓨터 게임 1개 이상을 할 줄 안다.,환상 및 현실구분 장애
처음 생각했던 것 보다 더 오랫동안 TV를 본다.,환상 및 현실구분 장애
스마트폰 채팅을 줄이려고 노력하지만 잘 안 된다.,환상 및 현실구분 장애
처음 생각했던 것 보다 더 오랜 시간 스마트폰 채팅을 한다.,환상 및 현실구분 장애
컴퓨터 게임을 방해하는 사람에게 화를 낸 적이 있다.,일상생활문제
부모님께 컴퓨터 게임 사용시간을 속인 적이 있다.,일상생활문제
부모님께 TV 보는 시간을 속인 적이 있다.,일상생활문제
스마트폰 채팅 때문에 짜증이 늘었다.,일상생활문제
스마트폰 채팅을 위해 거짓말 한 적이 있다.,일상생활문제
사람들 앞에서 말을 잘 못 꺼내는 내 모습이 못마땅하다,대인관계능력일치도
사람들 앞에 당당하게 나서지 못하는 내 모습이 못마땅하다,대인관계능력일치도
사람들과 쉽게 어울리지 못하는 내 모습이 마음에 안 든다,대인관계능력일치도
사람 만나기를 꺼려하는 내 모습이 마음에 안 든다,대인관계능력일치도
친구들과의 사이에서 내 주장을 잘 하지 못하는 내 모습이 못마땅하다,대인관계능력일치도
컴퓨터 게임을 하고 있을 때 마음이 편하다.,금단 및 집착
나는 컴퓨터 게임을 가끔 한다.,금단 및 집착
TV를 볼 때 매우 즐겁다.,금단 및 집착
스마트폰 채팅을 하고 있지 않을 때도 알림음이 들리는 것 같다.,금단 및 집착
스마트폰 채팅을 하는 시간이 매우 즐겁다.,금단 및 집착
컴퓨터 게임을 하다가 시간약속을 어긴 적이 있다.,학업문제
내주변에는 컴퓨터 게임을 잘하는 친구가 있다.,학업문제
TV보는 것 때문에 부모님과 사이가 나빠졌다.,학업문제
스마트폰 채팅을 하면서 욕을 한 적이 있다.,학업문제
스마트폰 채팅 때문에 부모님과 사이가 나빠졌다.,학업문제
컴퓨터 게임을 시작하면 도중에 그만두기가 어렵다.,강박적 사용
나는 컴퓨터 게임에 대해 친구들과 이야기한 적이 있다.,강박적 사용
그만해야지 생각하면서도 TV를 계속 본다.,강박적 사용
스마트폰 채팅 때문에 공부에 집중이 잘 안된다.,강박적 사용
그만해야지 생각하면서도 스마트폰 채팅을 계속 한다.,강박적 사용
다른 사람의 시선을 많이 의식하는 내 모습이 못마땅하다,대인신뢰감일치도
누가 말을 걸 면 불안해지는 내 모습이 마음에 안 든다,대인신뢰감일치도
사람들에게 신뢰를 주지 못하는 내 자신이 마음에 안 든다,대인신뢰감일치도
사람들과 관계가 편하지 못한 내 모습에 대해 불만스럽다,대인신뢰감일치도
가족들로부터 신뢰를 받지 못하는 내 자신이 마음에 안 든다,대인신뢰감일치도
친한 친구가 없는 내 자신이 마음에 안 든다,대인신뢰감일치도
가족들로부터 사랑 받지 못하는 내 자신에 대해 불만스럽다,대인신뢰감일치도
사람을 잘 믿지 못하는 내 자신이 마음에 안 든다,대인신뢰감일치도
무리한 부탁인데도 잘 거절하지 못하는 내 자신이 마음에 안 든다,대인신뢰감일치도
사람들 눈치를 많이 보는 내 모습이 마음에 안 든다,대인신뢰감일치도
공상이나 상상을 즐기는 편이다.,"예민성, 강정성"
따돌림을 당하는 친구를 보면 마음이 아프다.,"예민성, 강정성"
건축설계보다 소설 쓰는 일이 더 재미있을 것 같다.,"예민성, 강정성"
다른 친구가 다친 것을 봐도 별로 무섭지 않다.,"예민성, 강정성"
감상적인 음악보다 신나는 음악이 좋다.,"예민성, 강정성"
다른 사람에게 의지하고 싶을 때가 있다.,"예민성, 강정성"
취미 생활로서는 무엇을 만들기보다는 음악 감상이 더 좋다.,"예민성, 강정성"
길 가다가 화가가 그림 그리는 것을 보면 좀 구경하고 가겠다.,"예민성, 강정성"
친구가 힘든 것을 보면 마음이 아파진다.,"예민성, 강정성"
같은 조건이라면 기계에 관련된 일을 하기보다는 청소년 진로상담을 하겠다.,"예민성, 강정성"
농담을 잘하며 사람들에게 인기가 있는 편이다.,"정열성, 외향성, 초자아강도"
장난을 좋아한다.,"정열성, 외향성, 초자아강도"
나의 성격은 활발하고 떠들썩한 편이다.,"정열성, 외향성, 초자아강도"
웃기는 이야기를 잘한다.,"정열성, 외향성, 초자아강도"
자유시간에는 친구들과 농담하며 즐겁게 보낸다.,"정열성, 외향성, 초자아강도"
좀 위험해도 다양하고 활동적인 일을 좋아한다.,"정열성, 외향성, 초자아강도"
다른 사람들에 비해 친구들이 적은 편이다.,"정열성, 외향성, 초자아강도"
나는 자주 놀러 다니는 편이다.,"정열성, 외향성, 초자아강도"
친구들과 함께 운동하는 걸 좋아한다.,"정열성, 외향성, 초자아강도"
축제나 파티에는 별로 가고 싶지 않다.,"정열성, 외향성, 초자아강도"
나 자신에 대해 자랑스럽게 느낄 수 없어 내 자신이 못마땅하다,자기존중감일치도
일을 제대로 해내지 못하는 내 모습에 대해 불만스럽다,자기존중감일치도
친구들보다 못한 내 자신에 대해 불만스럽다,자기존중감일치도
친구들로부터 인정을 받지 못하는 내 자신에 대해 불만스럽다,자기존중감일치도
나는 내 자신이 여러 모로 마음에 안 든다,자기존중감일치도
살면서 실수를 너무 많이 해 온 내 자신에 대해 불만스럽다,자기존중감일치도
내가 무가치하게 느껴져서 내 자신에 대해 불만스럽다,자기존중감일치도
남들만큼 똑똑하지 못한 내 자신이 못마땅하다,자기존중감일치도
뭔가 내세울 것이 없는 내 자신에 대해 불만스럽다,자기존중감일치도
나 자신의 현재 모습이 마음에 안 든다,자기존중감일치도
평소에 마음이 자주 불안해지는 내 모습이 못마땅하다,정서안정성일치도
너무 걱정이 많은 내 모습이 마음에 안 든다,정서안정성일치도
쉽게 감정이 잘 상하는 내 모습이 마음에 안 든다,정서안정성일치도
기분이 자주 나빠지는 내 모습에 대해 불만스럽다,정서안정성일치도
사소한 일로 마음을 잘 상하는 내 모습이 못마땅하다,정서안정성일치도
내가 선택한 행동에 대해 자주 후회를 하는 내 모습이 못마땅하다,정서안정성일치도
신경이 너무 예민한 내 모습이 마음에 안 든다,정서안정성일치도
자주 긴장되거나 불안한 내 모습이 마음에 안 든다,정서안정성일치도
쉽게 마음이 잘 상하는 내 모습에 대해 불만스럽다,정서안정성일치도
자주 우울해지는 내 모습이 마음에 안 든다,정서안정성일치도
나는 스마트폰 채팅을 좋아한다.,일탈
스마트폰 채팅을 못하면 답답하다.,일탈
"컴퓨터 게임을 하는 중, 신경질적으로 컴퓨터를 다룬 적이 있다.",일탈
스마트폰 게임에 지면 화가 쉽게 가라앉지 않는다.,일탈
TV를 보다가 화를 낸 적이 있다.,일탈
TV를 보지 못하면 답답하다.,일탈
컴퓨터 게임에 지면 화가 쉽게 가라앉지 않는다.,일탈
"스마트폰 채팅방에서 내 의견이 받아들여지지 않을 경우, 화가 쉽게 가라앉지 않는다.",일탈
"TV를 보던 중, 신경질적으로 리모컨을 누른 적이 있다.",일탈
정해진 시간만큼 스마트폰 게임을 하고도 끝낼 때면 짜증이 난다.,"일탈, 부정정서"
하기 싫어도 자꾸 조르면 그냥 따라주는 편이다.,"지배성, 자립성"
나는 고집이 있는 편이다.,"지배성, 자립성"
남의 의견이나 생각에 대한 비판을 되도록 하지 않는다.,"지배성, 자립성"
무슨 일이든 반드시 내 의견을 반영시키고 싶다.,"지배성, 자립성"
상대방이 요구하지 않아도 그에게 중요하다고 여겨지면 말을 해준다.,"지배성, 자립성"
남에게 영향을 미칠 수 있는 대단한 행동은 하고 싶지 않다.,"지배성, 자립성"
상대가 나쁘다고 생각되면 따끔하게 꾸짖는다.,"지배성, 자립성"
누가 싫어하면 내 의견을 말하기가 어렵다.,"지배성, 자립성"
나는 예의 바르고 조용한 성격이다.,"지배성, 자립성"
나는 사람들이 나에게 조언을 받으러 오는 일을 하고 싶다.,"지배성, 자립성"
스마트폰 채팅을 하고 있을 때 시간이 빨리 지나가는 것 같아 아쉽다.,부정정서
수업 중 스마트폰 채팅을 하고 싶은 생각이 든 적이 있다.,부정정서
나는 TV 보는 것을 좋아한다.,부정정서
어떻게든 스마트폰 채팅을 해야 기분이 좋다.,부정정서
나는 스마트폰 게임을 좋아한다.,부정정서
TV를 못 본다면 재미가 없을 것 같다.,부정정서
TV가 보고 싶어서 다른 일에 집중이 안 된다.,부정정서
스마트폰 채팅을 하고 있을 때 마음이 편하다.,부정정서
정해진 시간만큼 스마트폰 게임을 하고도 끝낼 때면 짜증이 난다.,"일탈, 부정정서"
스마트폰 게임을 하고 있을 때 시간이 빨리 지나가는 것 같아 아쉽다.,부정정서
내 아이는 또래친구와 어울릴 때 부끄러워 한다.,"위축, 자폐스펙트럼"
상대방을 대할 때 특이한 행동을 보인다(예: 눈 접촉을 피하거나 이상한 얼굴표정이나 몸 동작 등).,자폐스펙트럼
놀이장면에서 상상놀이나 가상놀이를 하지 못한다.,자폐스펙트럼
내 아이는 언어(언어발달)에 심각한 문제가 있다.,자폐스펙트럼
특이한 방식으로 말한다(예: 다른 사람의 말을 따라한다거나 나와 너를 착각하거나 또는 이상한 단어나 말을 사용하는 등).,자폐스펙트럼
다른 사람의 감정에 관심이 없거나 신경쓰지 않는다.,자폐스펙트럼
주변상황이 조금만 바뀌어도 당황스러워 한다.,자폐스펙트럼
내 아이는 낯선 사람과 함께 있는 것을 불편해 한다.,"위축, 자폐스펙트럼"
특정 물건의 한 부분에 집착하거나 자주 매료되어 있다.,자폐스펙트럼
반복되는 이상한 동작이나 행동을 보인다(예: 팔을 퍼덕이는 행동 등).,자폐스펙트럼
나는 같이 일하는 사람들과 관계가 만족스럽다.,직무만족
나는 현재 내가 하고 있는 일에 대해 전반적으로 만족하는 편이다.,직무만족
나는 지금 내가 하고 있는 일을 좋아한다.,직무만족
나는 현재 내가 하고 있는 일이 나와 잘 맞는다고 생각한다.,직무만족
나는 내가 일하고 있는 곳에서 적절한 처우를 받고 있다고 생각한다.,직무만족
나는 내가 하고 있는 일에 대해서 충분한 보상을 받고 있다고 생각한다.,직무만족
나는 현재 내가 하는 일이 만족스럽다.,직무만족
내가 일하는 곳은 나에게 공정한 기회를 제공한다.,직무만족
내가 일하는 곳의 업무 분위기가 만족스럽다.,직무만족
내가 일하는 곳의 성과에 대한 평가는 공정하게 이루어지고 있다고 생각한다.,직무만족
잊고 싶지만 계속 떠오르는 사건이 있다.,정서충격
나는 과거의 어떤 사건 때문에 아직도 힘들다.,정서충격
그 사람 때문에 내 인생이 망가졌다.,정서충격
요즘 나를 힘들게 하는 사람이 있다.,정서충격
나는 과거(또는 현재)의 어떤 일 때문에 견딜 수 없이 고통스럽다.,정서충격
나는 이유 없이 심하게 맞거나 괴롭힘 당한 적이 있다.,정서충격
나는 잊고 싶은 기억이 꿈에 자꾸 나온다.,정서충격
그 사람 때문에 나는 계속 힘들 것 같다.,정서충격
나는 과거(또는 현재)의 어떤 일 때문에 너무 괴롭다.,정서충격
내 아이는 다른 사람이 말하는 것을 비교적 잘 이해한다.,"자아강도, 인지발달지체"
내 아이는 수셈을 꽤 잘한다.,인지발달지체
내 아이는 해야할 일을 항상 기억하고 있다.,인지발달지체
내 아이는 어린이집 등을 한동안 가지 못한 적이 있다.,인지발달지체
내 아이는 어린이집 등을 가기 싫어한다.,인지발달지체
내 아이는 지시를 잘 알아듣는다.,인지발달지체
내 아이는 책(동화 등)을 잘 못 읽는다.,인지발달지체
내 아이는 매일 조금씩 공부한다.,인지발달지체
나는 피곤해 보인다는 말을 자주 듣는다.,우울
무엇을 해도 별로 재미가 없거나 즐겁지가 않다.,우울
밤새 잠을 잘 못 자거나 아침에 일어나기가 너무 힘들다.,우울
항상 가슴이 답답하다.,우울
난 쓸모없는 사람인 것 같다.,우울
한 가지 일에 집중하기가 어렵다.,우울
항상 기분이 우울하다.,우울
쉽게 우울해지는 편이다.,"우울, 불안성, 자책성, 자립성"
나는 곤란한 문제가 발생하더라도 나 자신을 잘 통제하기 때문에 개인적인 감정이나 느낌은 배제하고 주어진 일을 대한다. 나는 주관적인 감정으로 흔들리지 않는다.,갈등대처
"나는 문제나 갈등이 생기면 감정(화, 상처받음, 두려움)적인 반응을 강하게 드러내는 편이고, 다른 사람들이 나의 이런 감정적인 상태를 알아주고 거기에 맞춰주기를 원한다.",갈등대처
"나는 갈등상황에 처하더라도 부정적이거나 나의 고통스러운 부분을 보기보다는 밝은 면을 바라보고 그것을 강조한다. 그래서 좋은 기분에 머물고 싶고, 다른사람에게도 사기를 북돋아 주는 사람이 되려한다.",갈등대처
갈등상황에서 타인이 나에게 뭔가를 요구하는 것은 기분 나쁜 일이다. 그럴 때 나는 나의 감정이 충분히 표출되어야 상황이 정리되고 가라앉을 수 있다. 감정을 발산할 수 없을 때에는 마음이 불편해진다.,갈등대처
나는 어려움에 처하더라도 모든 일이 긍정적이고 나에게 유리한 쪽으로 풀린다고 느낀다. 물론 항상 기분좋은 것은 아니지만 나는 다른 사람에게 '문제가 없는 기분좋은 사람' 처럼 보이고 싶다.,갈등대처
나는 유능하거나 지식을 얻기위해 노력하기 때문에 어려움을 다루는 법을 잘 배우는 편이다. 그래서 갈등상황에서도 흥분하지 않고 객관적이고 논리적으로 문제를 잘 해결해 나간다.,갈등대처
"나는 사람들이 함께 있건 없건 상관없이 내가 해야 할 일을 한다. 나는 목표 지향적이고 추진력이 있으며, 미래를 전망하고 비전을 내다보는 능력이 있다. 나는 의견을 내세우고 내 의지대로 주변을 바꾸려고 하기 때문에 자주 대립하는 상황을 만난다.",행동양식
"나는 사람들과 함께 일하는 것을 좋아하고 그들과 좋은 관계를 맺으려 노력한다. 나는 타인의 의견을 잘 듣고 잘 이해하는 편이며, 명확한 방향지시나 지침이 주어질 때, 맡겨진 일을 편하게 수행할 수 있다. 나는 목표지향적이기보다는 과정(좋은 관계와 즐거운 시간)을 더 중요시 한다.",행동양식
"나는 대체로 나의 의견이나 생각을 주장하기 보다는 친구나 그룹을 행복하게 만들 수 있는 쪽을 선택한다. 모두가 행복하면 그런대로 나도 좋다. 나는 내가 속한 그룹의 구성원들을 격려하고 그들에게 힘이 되어주며, 모임이 잘 유지되는데 관심이 많다.",행동양식
"나는 홀로 있을 때 마음이 편하고 사람들 앞에 나서기보다는 타인을 지켜보는 편이 좋으며, 모임에서 의견을 강하게 주장하지 않는 편이다. 자주 생각에 깊이 잠긴다.",행동양식
"나는 문제가 발생하면 솔선해서 해결점을 찾으려 하며, 오래 고민하지 않고 신속하게 처리하는 편이다. 목표를 달성하기 위해서 필요한 조직을 구성하고 리더가 되어 조직을 이끌기도 한다.",행동양식
나는 여러 사람과 함께 있을 때 조용한 편이고 여러 사람보다 소수의 사람과 관계를 맺는 편이다. 종종 사람들과 의견이 맞지 않거나 긴장상태가 되면 나는 나만의 시간과 공간을 갖고 싶어진다. 먼저 행동하기보다는 생각하고 상상하는 것이 더 편하다.,행동양식
무기력함이 지속된다.,무기력
기운 없는 날이 많다.,무기력
의욕이 없고 기운이 나지 않는다.,무기력
아무것도 하고 싶지 않다.,무기력
기운이 없는 날이 많다.,무기력
나는 자주 피곤하다.,무기력
수학책에 나오는 계산을 틀리지 않고 잘 할 수 있나요?,수리논리
수학책에 나오는 글로 된 문제를 잘 풀 수 있나요?,수리논리
수학 시간에 선생님이 설명하시는 말씀을 잘 알아들을 수 있나요?,수리논리
수학 문제를 어떻게 풀었는지 부모님께 말할 수 있나요?,수리논리
어떤 일이 있고 난 다음에 또 다른 일이 일어날지 생각이 잘 떠오르나요?,수리논리
멋진 물건을 보고 똑같이 그릴 수 있나요?,공간시각
놀이공원에서 지도를 보고 엄마가 기다리는 곳을 잘 찾아갈 수 있나요?,공간시각
예쁜 인형이 있어요. 예쁜 색깔로 옷을 칠할 수 있나요?,공간시각
복잡한 퍼즐 맞추기 놀이를 할 거에요. 잘 할 수 있나요?,공간시각
그림책에 있는 그림만 보고도 어떤 이야기인지 잘 알 수 있나요?,공간시각
나는 어떤 일을 실행하기 전에 다른 사람의 의견을 구하는 편이다.,대인의존성
나와 친하게 지내던 사람이 떠날까 걱정되는 경우가 있다.,대인의존성
나를 지지해 줄 사람이 필요하다.,대인의존성
주변인으로부터의 평가에 신경을 쓰는 경우가 있다.,대인의존성
다른 사람의 부탁을 잘 거절하지 못한다.,대인의존성
복잡한 선을 따라 가위로 잘 자를 수 있나요?,손조작
색연필로 색을 칠하려고 해요.선 밖으로 색이 번지지 않도록 잘 칠할 수 있나요?,손조작
젓가락으로 작은 콩 옮기기를 할 거에요. 떨어뜨리지 않고 잘 할 수 있나요?,손조작
종이접기로 작은 물건을 만들 거에요. 종이접기를 잘 할 수 있나요?,손조작
바늘에 실을 꿰어볼게요. 잘 할 수 있나요?,손조작
노래를 잘 부를 수 있나요?,음악
악기 연주를 잘 할 수 있나요?,음악
리듬에 맞추어 박수를 잘 칠 수 있나요?,음악
처음 듣는 노래도 잘 따라 부를 수 있나요?,음악
음악을 듣고 느낌을 말할 수 있나요?,음악
공을 가지고 공놀이를 하지 않고 다른 놀이를 하려고 해요. 다른 놀이 방법을 잘 생각할 수 있나요?,창의
두 가지를 묶어서 새로운 물건을 만들어내었어요. 이런 재미있는 상상을 잘 할 수 있나요?,창의
하늘과 관계있는 여러 가지를 생각해볼 거에요. 생각나는 낱말이 많나요?,창의
“왜 그럴까? 어떻게 생겼을까? 어떻게 될까?” 궁금한 것이 많이 있나요?,창의
다른 사람들이 생각하지 못한 것들을 생각해서 주위 사람을 놀라게 한 적이 있나요?,창의
삐에로가 재미있는 표정을 짓고 있어요. 여러분도 삐에로같은 표정을 지어볼 수 있나요?,신체운동
선생님이 하는 무용을 따라할 거에요.잘 따라할 자신이 있나요?,신체운동
공이 빠르게 날아오네요.날아오는 공에 맞지 않도록 잘 피할 수 있나요?,신체운동
무거운 물건도 잘 들어 올릴 수 있나요?,신체운동
먼 거리를 걸어갈 거에요.중간에 쉬지 않고 씩씩하게 잘 갈 수 있나요?,신체운동
다쳐서 상처가 난 동물을 보았어요. 치료하고 돌보아줄 수 있나요?,자연친화
동물이 나오는 책을 잘 보는 편인가요?,자연친화
처음 보는 식물이에요. 이 식물에 대해서 알아보고 싶은 마음이 드나요?,자연친화
식물이 나오는 책을 잘 보는 편인가요?,자연친화
TV를 보지 않고 숲 속에서 일주일을 지낼 수 있나요?,자연친화
내가 무엇을 잘 하는지 무엇을 못하는지 잘 알고 있나요?,자기관리
실수로 친구의 물건을 깨뜨렸어요. 용돈을 모아 친구의 물건을 사 줄 수 있나요?,자기관리
선생님에게 혼나더라도 내가 잘못한 일을 솔직하게 말씀드릴 수 있나요?,자기관리
옆에서 방해를 해도 내가 할 일을 꾸준히 잘 하나요?,자기관리
화 나는 일이 있어도 화를 내지 않고 잘 참을 수 있나요?,자기관리
오늘 재미있는 일이 있었어요. 오늘 있었던 일들을 일기로 잘 쓸 수 있나요?,언어
국어책이나 동화책을 읽으면 그 내용을 잘 알수 있나요?,언어
부모님께 오늘 학교에서 있었던 일들을 잘 말씀드릴 수 있나요?,언어
수업 시간에 선생님이 설명하시는 내용을 잘 듣고 이해할 수 있나요?,언어
이야기를 재미있게 꾸며서 이야기할 수 있나요?,언어
1+2는 3이 된다는 것을 잘 알고 있나요?,응답성실성
"고양이가 자라서 호랑이가 된대요, 맞는 말인가요?",응답성실성
초록색 신호등에 불이 들어왔을 때 횡단보도를 건넌다는 것을 잘 알고 있나요?,응답성실성
