Unnamed: 0,question,type,keywords
62,나는 논리와 추리를 요구하는 퍼즐이 재미있다.,다중지능검사,"자기존중감, 사고, 해결할, 즐김, 신체교육, 패션, 많은, 좋아합니다, 여행, 대처하지"
63,고장 난 장난감을 고친다. ,진로발달검사,"다양한, 배낭여행, 비판적이거나, 기민성, 대한, 듣기, 읽기, 겪을, 겪을, 항목"
64,사람들 앞에서 나의 의견을 잘 표현한다. ,진로발달검사,"어려울, 조성하, 통해, 공감하면서도, 공예, 예민하고, 중요하게, 인테리어, 기분, 해외여행"
65,무슨 일이든 하기 전에 항상 신중히 생각한다.,다요인검사,"골프, 반응할, 사고, 받으면, 추리, 활동, 체험학습, 글쓰기, 미용, 함께"
66,예술에 소질이 있다는 말을 듣는다. ,진로발달검사,"부끄럼, 기억전략, 언어, 타고, 사람들, 비판적이거나, 구조, 중요하게, 미루지, 언어"
67,나는 도전하고 성취감을 느끼는 것이 좋다.,자기조절학습검사,"생각, 사고, 집단적, 창의적, 깊습니다, 시간환경관리, 시를, 초인, 릴레이, 창의적"
68,공부하기 싫어질 때 부모님을 생각하며 다시 노력한다.,자기조절학습검사,"요지, 풍부해, 에너지, 호기심, 물리적, 의견, 동정심, 증명, 아니며, 방법"
69,답답함,자기조절학습검사,"논리적, 그림, 귀납적, 그림, 디지털, 골프, 반응할, 자기계발, 가던, 야외체험학습"
70,내 마음대로 되는 일이 하나도 없다.,자기조절학습검사,"현장학습, 학습, 거부감, 요지, 과학, 논리, 많은, 비언어적, 언어, 숫자"
71,항공기 조종사 : 항공기가 정해진 시간에 목적지까지 안전하게 도착할 수 있도록 조종하는 사람 ,진로발달검사,"삼단논법, 능력, 요지, 듣지만, 적극적, 어떻게, 도식, 관계지각, 게임, 해석하는"
72,나의 발전을 위해 적절하게 자극을 주는 사람이 있다.  ,진로발달검사,"기민성, 항목, 적응하고, 좋아하고, 비판적이거나, 나타나는, 활용하기, 지각하는, 관습적, 경우일"
73,어떤 학교공부가 내 꿈을 이루는데 중요한지 잘 알고 있다. ,진로발달검사,"함께, 상징, 있고, 시뮬레이션, 민감해, 안정상, 읽기, 현장학습, 않는, 등산"
74,두고두고 생각하고 준비했던 일도 막상 시작하려면 자신이 없어진다.,다요인검사,"탐색하는, 숫자, 일반적, 판단하는, 관계지각, 항목, 메타, 양보, 없으나, 깊게"
75,한국의 수도는 부산이다.,자기조절학습검사,"도표, 다른, 학습내용, 동작, 통해, 차트, 요가, 지각하는, 봉사, 경우일"
76,나는 노래 부르는 것을 좋아한다.,다중지능검사,"표현할, 이해, 공감하면서도, 위해, 펫케어, 차트, 제시하는, 쇼핑, 명랑하고, 나타나는"
77,떠들썩한 파티보다는 집에서 조용히 취미생활이나 하겠다.,다요인검사,"체험학습, 깊습니다, 해주는, 직접, 인내심, 적극적, 스터디, 과학, 읽기, 정서조절"
78,내 적성보다는 남들이 부러워하는 일에 관심이 더 많다. ,진로발달검사,"좋아합니다, 자연학습, 미술, 없으나, 에너지, 취미생활, 공부, 있어, 나타나는, 편안한"
79,공부가 잘 되지 않을 때 열심히 해서 성적을 잘 받았던 때를 떠올려본다.,자기조절학습검사,"거부감, 해결할, 예민하고, 시뮬레이션, 공예, 주의, 순차적, 상황, 시뮬레이션, 풍부해"
80,내 말을 듣는 사람이 많아야 신이 난다.,다요인검사,"가능성, 끝내지, 발달된, 받아들이기, 맡기는, 가설설정, 상징, 작곡하는, 드러나지, 음악"
81,나는 학교나 모임에서 앞장서서 일한 적이 많다.,다중지능검사,"도형, 읽기, 반응할, 세세한, 집단적, 세계, 작은, 개인사를, 신체교육, 이론"
82,나에게는 확실히 남들보다 뛰어난 면도 있다.,다요인검사,"동정심, 운동, 겪을, 취미생활, 관계지각, 강점, 기술, 살펴볼, 연산, 불안정하여"
83,무엇이든 이유를 따져보는 습관이 있다. ,진로발달검사,"인내심, 과학, 정서, 자기존중감, 자료, 어려움, 공부하기, 증명, 발달된, 수학적"
84,핵심 개념은 꼭 외운다.,자기조절학습검사,"증명, 긍정적, 이해, 제시하는, 음악, 사용하기, 미술, 게임, 때문, 긴장유지"
85,나는 수학시간을 좋아한다.,다중지능검사,"기분, 적절한, 즐김, 풍부해, 내향적, 체험학습, 바둑, 겪고, 탐색하는, 독서"
86,장난감 조립(혹은 인형 만들기)을 잘 한다. ,진로발달검사,"보다, 끝내지, 추상적, 불편, 내고, 사고, 받으며, 삼단논법, 불편, 해내기"
87,나는 친구들에게 동화나 만화 이야기를 재미있게 해 줄 수 있다.,다중지능검사,"펫케어, 크기, 기능, 펫케어, 활용하기, 겪을, 지각하는, 댄스, 기술, 여행"
88,후배 학생이나 모르는 사람을 때려본 적이 있다.,다요인검사,"해냅니다, 부끄럼, 해결할, 현실적, 자료, 자동차, 비언어적, 이론, 자기주도적, 어려움"
89,나는 예의바르고 조용하다.,다요인검사,"자신, 있고, 다양한, 제스처, 자연학습, 자기주도적, 협동적, 얼굴표정, 부끄럼, 생각하며"
90,짜증,자기조절학습검사,"해외여행, 그룹, 자기, 있음에도, 경우일, 때문, 오감, 디지털, 삼단논법, 진로"
91,상대방이 요구하지 않아도 그에게 중요하다고 여겨지는 말을 해준다.,다요인검사,"경험하기를, 댄스, 이론, 유추, 자료, 협동적, 기민성;, 어려울, 겪고, 학습하기"
92,나는 공부하다가 짜증이 나더라도 그 기분에 휩쓸리지 않으려 한다.,자기조절학습검사,"해결할, 물리적, 통해, 동작, 나타나는, 학습, 스노보드, 있을, 편이, 기술"
93,군인 : 일정기간 훈련을 받고 국가를 지키는 일을 하는 사람 ,진로발달검사,"부끄럼, 긴장유지, 편안한, 도움, 국내여행, 때문, 디지털, 불안정하여, 귀납적, 추리"
94,정치가가 되어 국가를 운영한다. ,진로발달검사,"많고, 인식, 자신, 직접, 관계지각, 내고, 의견, 작곡하는, 시각, 진로"
95,나는 국어나 글쓰기 시간을 좋아한다.,다중지능검사,"연극, 그래프, 드러나지, 사진, 불편함이, 도형, 비언어적, 자기존중감, 불편, 차트"
96,시험을 볼 때 너무 긴장해서 아는 것도 제대로 쓰지 못할 때가 있다.,자기조절학습검사,"지식, 작곡하는, 자원활용, 과학적, 표현할, 순차적, 다양한, 스피드, 환경, 정서"
97,나는 체육시간을 좋아한다.,다중지능검사,"해내기, 조성하, 사용하기, 학습내용, 불안정하여, 건강, 예민하고, 메타, 코딩, 경험들"
98,나는 친구들과 어울려 노는 시간이 많아서 학교공부에 지장이 있다.,자기조절학습검사,"공예, 식물, 순차적, 아닌지, 나타나는, 릴레이, 해주는, 사고, 시뮬레이션, 집단적"
99,나는 주변사람들로부터 진로에 관한 정보를 구한다. ,진로발달검사,"끝내지, 얼굴표정, 숫자, 동기유발, 관찰, 패턴, 소셜미디어, 혹은, 겪을, 연역적"
100,나에게는 확실히 남들보다 뛰어난 면도 있다.,다요인검사,"일상생활, 골프, 축구, 철저한, 경험하기를, 이해전략, 통해, 사교적, 조각, 전신운동기능"
101,다른 친구들에 비해 공부를 잘하는 편이다.,자기조절학습검사,"연역적, 어려울, 가던, 어려울, 세세한, 상황, 예민하고, 자원활용, 지식, 자동차"
102,나는 친구들 간의 싸움을 잘 해결하고 화해시켜 준다.,다중지능검사,"시관환경관리, 끝내지, 신체언어, 전신운동기능, 추려, 개인사를, 인식, 살펴볼, 적극적, 경우일"
103,노력하면 좋은 성적을 받을 수 있다.,자기조절학습검사,"신체언어, 꼼꼼하고, 안정상, 활용하기, 해결하는, 창의적, 디지털, 상호관계, 분류하기, 기억전략"
104,나는 야외에 나가면 동물이나 식물에 관심이 많다.,다중지능검사,"맞게, 동정심, 관계, 관습적, 의견, 작은, 있어, 언어, 소리, 추론"
105,한 가지 일에 몰두하기 힘들다.,자기조절학습검사,"계획적, 좋아합니다, 시간환경관리, 유추, 쓰기, 분류하는, 가던, 순차적, 적응하고, 합니다"
106,알고 싶은 것이 많다. ,진로발달검사,"에너지, 등산, 글쓰기, 대화, 사용하기, 깊게, 뚜렷한, 위해, 사람, 기하학적"
107,시험을 망쳤다고 쉽게 좌절하지 않는다.,자기조절학습검사,"대처하지, 좋아하고, 긴장유지, 악기연주하기, 시각, 다시, 부끄럼, 크기, 신체, 증명"
108,무엇 하나를 고를 때도 누군가가 정해주는 것이 편하다. ,진로발달검사,"강점, 동물, 듣기, 외국어, 받으며, 스피드, 만화, 학문, 비언어적, 동정심"
109,채소를 심고 가꾼다. ,진로발달검사,"그래프, 가설설정, 없으나, 해석, 언어, 지식, 물리적, 가던, 스노보드, 보입니다"
110,나를 인정해 주는 친구가 없다.,자기조절학습검사,"상호관계, 동작, 연극, 자기존중감, 중요하게, 살펴볼, 긴장유지, 불편, 패턴, 신체교육"
111,"선박기관사 : 선박의 엔진, 보일러, 갑판의 기계장치 및 전기장치 등을 조작/정비하는 일을 하는 사람",진로발달검사,"시간환경관리, 바둑, 취미생활, 비판적이거나, 비언어적, 힘들어합니다, 상황, 기술, 내고, 요지"
112,좋아하는 이성이 있다.,다요인검사,"분류하는, 깊게, 디지털, 도표, 어려움, 국내여행, 유형화, 대화, 기분, 세세한"
113,나는 다른 아이들에 비해 몸놀림이나 손놀림이 좋다는 말을 많이 듣는다.,다중지능검사,"관찰, 시뮬레이션, 협동적, 호기심, 생각, 해석, 캠핑, 식물, 해결하는, 쇼핑"
114,다른 사람과의 약속을 어긴 적이 없다.,자기조절학습검사,"친구들, 의견, 자연학습, 학습, 단서, 미술, 깊게, 창의적, 공예, 자기주장"
115,나는 어떤 과목보다도 수학이나 과학을 잘 한다.,다중지능검사,"필요, 보거나, 스피드, 공감하면서도, 에너지, 독서, 사고, 해주는, 사람들, 취미생활"
116,나는 어떤 음악을 들으면 그 곡의 빠르기나 음의 높낮이를 알 수 있다.,다중지능검사,"기하학적, 사진, 코딩, 평균, 다시, 조각, 드라마, 가던, 겪고, 국내여행"
117,사회복지사 : 어려움을 겪고 있는 사람의 안정된 생활이 가능하도록 지원하는 사람 ,진로발달검사,"있으며, 소셜미디어, 탐색하는, 여행, 현실적, 주의, 지각하는, 경험하기를, 오감, 설정"
118,배운 것에 대한 이해력이 좋다 ,진로발달검사,"뷰티, 규칙적, 자원활용, 순차적, 신체, 그림, 적극적, 평균, 맞게, 많은"
119,나는 내가 무엇을 잘하고 무엇을 못하는지 잘 안다.,다중지능검사,"만지거나, 헬스, 생각하는, 세계, 진로, 분류, 믿고, 펫케어, 일상생활, 자료"
120,취미생활로서는 뭘 만들기보다 음악감상이 더 좋다.,다요인검사,"해외여행, 동물, 동정심, 편안한, 단위, 가능성, 시뮬레이션, 경험하기를, 가기, 개인사를"
121,나는 다양한 악기의 소리를 잘 구분해낸다.,다중지능검사,"받아들이기, 단서, 관습적, 내향적, 사진, 타고, 스포츠, 귀납적, 독서, 귀납적"
122,나는 다른 사람과의 약속을 어긴 적이 없다.,자기조절학습검사,"봉사, 호기심, 듣지만, 불안정하여, 스피드, 집단적, 중재학습, 그룹, 서핑, 독서"
123,계획표를 짜서 그에 따라 공부하는 것이 너무 어렵다.,자기조절학습검사,"불편, 체험학습, 공예, 있고, 양보, 말하기, 에너지, 유형화, 학문, 규칙적"
124,다소 어렵더라도 호기심이 생기는 수업이나 과제가 좋다.,자기조절학습검사,"성실하게, 상황, 요가, 쓰기, 사람들, 내용, 자기계발, 쇼핑, 스터디, 동작"
125,나는 어떤 과목에 소질이 있는지 잘 알고 있다.  ,진로발달검사,"물리적, 릴레이, 보입니다, 보다, 캠핑, 자기존중감, 댄스, 범주, 시를, 겪을"
126,무슨 일이나 완벽하게 하는 편이다.,다요인검사,"기민성, 듣지만, 중간, 편안한, 없으나, 자연학습, 않는, 강점, 맞게, 해내기"
127,"공부에 방해되거나 필요 없는 것들(게임기, 만화책,휴대폰 등)을 치운다.",자기조절학습검사,"야외자연활동, 국내여행, 분류하기, 과학, 꼼꼼하고, 다른, 수집, 추려, 뷰티, 신체교육"
128,"나는 인라인 스케이트, 자전거 같은 것을 빨리 배우고 즐겨 탄다.",다중지능검사,"탐색하는, 독서, 있으며, 경험들, 동정심, 개인사를, 오감, 아는, 활용하기, 차트"
129,나는 집에 있을 때 노래와 음악을 많이 듣는다.,다중지능검사,"형태, 듣기, 구체적, 관심, 시간환경관리, 노래하기, 이론, 어울릴, 그림, 식물"
130,고장 난 장난감을 고친다. ,진로발달검사,"안정적, 환경, 있음에도, 유추, 많고, 추려, 경우일, 글쓰기, 만들어, 불편함이"
131,시험을 망쳤다고 쉽게 좌절하지 않는다.,자기조절학습검사,"만지거나, 있을, 릴레이, 드러나지, 시관환경관리, 않는, 다양한, 맞게, 관계지각, 반응하는"
132,"나는 교과서, 공책 등을 다양한 색과 장식으로 꾸미는 것을 좋아한다.",다중지능검사,"나타나는, 경험들, 적극적, 여기는, 안정적, 풍부해, 신체언어, 직접, 안온하게, 조성하"
133,친구들을 말로 잘 설득한다. ,진로발달검사,"오감, 비판적이거나, 도움, 많고, 언어, 협동적, 스트레스, 헬스, 집단적, 디지털"
134,나는 고집이 있는 편이다.,다요인검사,"강점, 가던, 명랑하고, 규칙적, 가던, 표현할, 음악, 생각하며, 능력, 분류"
135,나는 어려움을 잘 견디는 사람이라고 생각한다.,자기조절학습검사,"성향, 필요, 릴레이, 반응하는, 보입니다, 표현할, 쇼핑, 의견, 사용하기, 살펴볼"
136,관심 직업의 일터와 하루 일과에 대해 찾아본 적이 있다. ,진로발달검사,"요지, 정서적, 칭찬, 기분, 공감하면서도, 요리, 패턴, 수학적, 수집, 디자인"
137,나는 다른 사람과의 약속을 어긴 적이 없다.,자기조절학습검사,"제스처, 오감, 거부감, 등산, 듣지만, 없고, 악기연주하기, 일상생활, 목표, 시각"
138,무엇 하나를 고를 때도 누군가가 정해주는 것이 편하다. ,진로발달검사,"관계지각, 있어, 현장학습, 깊게, 밴다이어그램, 어려움, 경험들, 사고, 중요하게, 공부"
139,나는 공부를 할 때 나 자신의 능력을 믿는 편이다.,자기조절학습검사,"불편함이, 느낄, 과학, 이해하기, 능력, 귀납적, 강점, 물리적, 기민성, 스피드"
140,나는 공부가 잘 되는 시간은 비워놓고 그 시간에는 주로 공부를 한다.,자기조절학습검사,"능력, 기하학적, 없으나, 맞게, 사용하기, 질문전략, 부끄럼, 조각, 활용하기, 가기"
141,다른 사람보다 의지력이 강한 편이다.,자기조절학습검사,"동작, 스트레스, 해결할, 해주는, 중간, 다시, 일반적, 악기연주하기, 추리, 요가"
142,공부하는 시간이 일정하지 않고 충동적으로 한다.,자기조절학습검사,"발달된, 맡기는, 추론, 편안히, 시뮬레이션, 친구들, 그래프, 편안히, 즐김, 가려고"
143,나는 미술활동을 좋아한다.,다중지능검사,"게임, 학문, 노래하기, 추리, 헬스, 능력, 좋아하고, 살펴볼, 비언어적, 듣기"
144,농사를 지으면 자연과 더불어 살고 싶다.,다요인검사,"상황, 동기유발, 건강, 통해, 적응하고, 기억전략, 악기연주하기, 얼굴표정, 기술, 때문"
145,공부하기 싫어질 때 미래를 생각하며 정신을 차리려고 한다.,자기조절학습검사,"많은, 자주, 메타, 범주, 유추, 좋아하고, 합니다, 자신, 해냅니다, 식물"
146,열심히 공부하면 내 꿈을 이룰 수 있다고 생각한다.,자기조절학습검사,"성향, 시간환경관리, 집단적, 위해, 끝내지, 보다, 적절한, 만화, 사람, 불편함이"
147,교통규칙을 항상 지킨다.,자기조절학습검사,"요가, 사교적, 읽기, 얼굴표정, 없고, 작곡하는, 규칙적, 노래, 도표, 작곡하는"
148,취미생활로서는 뭘 만들기보다 음악감상이 더 좋다.,다요인검사,"이해, 물리적, 가치, 만화, 단위, 자기주장, 초인, 경우일, 유추, 깊습니다"
149,"복잡한 내용은 이해하기 쉽도록 도표나 마인드맵, 그림 등을 그려본다.",자기조절학습검사,"게임, 부끄럼, 작은, 작은, 칭찬, 개인사를, 상황, 생각하며, 평균, 많은"
150,나에게 어울리는 직업은 무엇일지 생각해 보곤 한다.  ,진로발달검사,"어려움, 캠핑, 소리, 불편함이, 아닌지, 없고, 만지거나, 건강, 쇼핑, 먼저"
151,나는 다른 사람들로부터 다정하고 친절하다는 말을 자주 듣는다.,다중지능검사,"않는, 다른, 발달된, 창의적, 집단적, 자기계발, 차트, 미술, 중재학습, 언어"
152,나는 친구들 간의 싸움을 잘 해결하고 화해시켜 준다.,다중지능검사,"영화, 공부, 반응할, 않는, 여행, 해외여행, 취미생활, 있음에도, 어떻게, 등산"
